,username,topic,value
0,AlexDelarge6553,Service Promotion,0.0004351952724962950
1,AlexDelarge6553,Future Movers,0.0013147452728765900
2,AlexDelarge6553,Free Resources,0.0003317052707986220
3,AlexDelarge6553,Stock Alerts,0.00048362804815451100
4,AlexDelarge6553,Beginner Education,0.015394394433742300
5,AlexDelarge6553,Personal Investment,0.0011530050158505500
6,alexcutler247,Service Promotion,0.0011976101106563600
7,alexcutler247,Future Movers,0.0011166734438331900
8,alexcutler247,Free Resources,0.0002025865000404600
9,alexcutler247,Stock Alerts,0.0008415829796526890
10,alexcutler247,Beginner Education,0.00980288642675257
11,alexcutler247,Personal Investment,0.0008331911292626490
12,buysellshort,Service Promotion,0.0008105782235445160
13,buysellshort,Future Movers,0.002296835621925200
14,buysellshort,Free Resources,0.0002869312152402120
15,buysellshort,Stock Alerts,0.012189103628913100
16,buysellshort,Beginner Education,0.010144817971939200
17,buysellshort,Personal Investment,0.008844667774478610
18,simbatrading,Service Promotion,0.000523515155926967
19,simbatrading,Future Movers,0.0014934003118339300
20,simbatrading,Free Resources,0.00021260047665281500
21,simbatrading,Stock Alerts,0.002600236823373740
22,simbatrading,Beginner Education,0.012191779037086800
23,simbatrading,Personal Investment,0.004452393090527890
24,StockLizardKing,Service Promotion,0.0004354298766157040
25,StockLizardKing,Future Movers,0.0011714683052083700
26,StockLizardKing,Free Resources,0.00044870152027910800
27,StockLizardKing,Stock Alerts,0.0010362333957150300
28,StockLizardKing,Beginner Education,0.008235476717468570
29,StockLizardKing,Personal Investment,0.001679949562073830
30,timothysykes,Service Promotion,0.01092209177967710
31,timothysykes,Future Movers,0.008857598732270530
32,timothysykes,Free Resources,0.0066839553088663700
33,timothysykes,Stock Alerts,0.0006518078401690750
34,timothysykes,Beginner Education,0.018911667777343300
35,timothysykes,Personal Investment,0.0001336437650247330